filepath,series,title,number,summary,year,month,writer,artist,publisher,format
Alienated (2020)/Volume #01.cbz,Alienated (2020),Volume #01,1,Alienated (2020) #1-6,2020,,Simon Spurrier,Chris Wildgoose,Boom,Trade Paperback
Atlas Era Battlefield Masterworks/Volume #01.cbz,Atlas Era Battlefield Masterworks,Volume #01,1,Battlefield (1952) #1-11,2018,,Hank Chapman,"Russ Heath, Paul Reinman, Mac Pakula, Vern Henkel, Joe Maneely, Gene Colan, Bill Everett",Marvel,Hardcover
Atlas Era Black Knight & Yellow Claw Masterworks/Volume #01.cbz,Atlas Era Black Knight & Yellow Claw Masterworks,Volume #01,1,Black Knight (1955) #1-5 & The Yellow Claw (1956) #1-4,2020,,"Jack Kirby, Stan Lee","Jack Kirby, Al Feldstein, Fred Kida, Syd Shores",Marvel,Hardcover
Batman- Urban Legends (2021)/Batman- Urban Legends (2021) #01.cbz,Batman: Urban Legends (2021),Batman: Urban Legends (2021) #01,1,,2021,5,"Chip Zdarsky, Stephanie Phillips, Brandon Thomas, Matthew Rosenberg","Eddy Barrows, Eber Ferreira, Marcus To, Laura Braga, Max Dunbar, Ryan Benjamin",DC,Comic
Batman- Urban Legends (2021)/Batman- Urban Legends (2021) #02.cbz,Batman: Urban Legends (2021),Batman: Urban Legends (2021) #02,2,,2021,6,"Chip Zdarsky, Cecil Castellucci, Brandon Thomas, Matthew Rosenberg","Eddy Barrows, Eber Ferreira, Julio Ferreira, Marcus To, Marguerite Sauvage, Max Dunbar, Ryan Benjamin",DC,Comic
Batman- Urban Legends (2021)/Batman- Urban Legends (2021) #03.cbz,Batman: Urban Legends (2021),Batman: Urban Legends (2021) #03,3,,2021,6,"Chip Zdarsky, Che Grayson, Brandon Thomas, Matthew Rosenberg","Eddy Barrows, Eber Ferreira, Julio Ferreira, Marcus To, Alberto Jimenez Alburquerque, Max Dunbar, Ryan Benjamin",DC,Comic
Batman- Urban Legends (2021)/Batman- Urban Legends (2021) #04.cbz,Batman: Urban Legends (2021),Batman: Urban Legends (2021) #04,4,,2021,8,"Chip Zdarsky, Camrus Johnson, Meghan Fitzmartin, Matthew Rosenberg","Eddy Barrows, Eber Ferreira, Marcus To, Loyiso Skizze, Belén Ortega, Ryan Benjamin",DC,Comic
Batman- Urban Legends (2021)/Batman- Urban Legends (2021) #05.cbz,Batman: Urban Legends (2021),Batman: Urban Legends (2021) #05,5,,2021,8,"Chip Zdarsky, Marguerite Bennett, Meghan Fitzmartin, Matthew Rosenberg","Eddy Barrows, Eber Ferreira, Diogenes Neves, Marcus To, Sweeney Boo, Belén Ortega, Ryan Benjamin",DC,Comic
Batman- Urban Legends (2021)/Batman- Urban Legends (2021) #06.cbz,Batman: Urban Legends (2021),Batman: Urban Legends (2021) #06,6,,2021,9,"Chip Zdarsky, Matthew Rosenberg, Meghan Fitzmartin, Joshua Williamson","Eddy Barrows, Eber Ferreira, Scot Eaton, Julio Ferreira, Oclair Albert, Marcus To, Chris Sprouse, Belén Ortega, Trevor Hairsine",DC,Comic
Black Panther- Epic Collection/Volume #01 - Panther's Rage.cbz,Black Panther: Epic Collection,Panther's Rage,1,Fantastic Four (1961) #52-53 & Jungle Action (1972) #6-24,2019,,"Don McGregor, Stan Lee","Rich Buckler, Billy Graham, Jack Kirby, Gil Kane, Keith Pollard",Marvel,Trade Paperback
Black Panther- Epic Collection/Volume #02 - Revenge of the Black Panther.cbz,Black Panther: Epic Collection,Revenge of the Black Panther,2,"Black Panther (1977) #1-15, Marvel Premiere (1972) #51-53, Marvel Team-Up (1972) #100, & Black Panther (1988) #1-4",2019,,"Jack Kirby, Ed Hannigan, Peter B. Gillis, Jim Shooter, Chris Claremont, John Byrne","Jack Kirby, Jerry Bingham, Denys Cowan, John Byrne",Marvel,Trade Paperback
Black Panther- Epic Collection/Volume #03 - Panther's Prey.cbz,Black Panther: Epic Collection,Panther's Prey,3,"Black Panther: Panther’s Prey (1991) #1-4 & material from Marvel Comics Presents (1988) #13-37 & #148, Solo Avengers (1987) #19, Marvel Super-Heroes (1967) #1, Marvel Fanfare (1982) #60, & Fantastic Four Unlimited (1993) #1",2021,,"Don McGregor, Sandy Plunkett, Richard Bensam, Walter Simonson, Roy Thomas, Don Hillsman II, Dave DeVries","Gene Colan, Dwayne Turner, Sandy Plunkett, Ron Lim, Denys Cowan, Dave Hoover, Don Hillsman II",Marvel,Trade Paperback
